PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
ROCKAWAY FREEWAY,9.404,0.038072874,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BICENTENNIAL VETERANS MEMORIAL PARK,9.395,0.038036437,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
SUNSET COVE PARK,9.375,0.037955466,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ST. JOHN'S RECREATION CENTER,9.339,0.037809717,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,2,3,0,0,0,5
LINDEN PARK,9.322,0.037740891,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,2,2,0,1,0,5
HAFFEN PARK,9.238,0.03740081,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,1,0,0,0,2
ALLISON POND PARK,9.2,0.037246964,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
GRANITEVILLE SWAMP PARK,9.187,0.037194332,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
TOTTENVILLE SHORE PARK,9.181,0.03717004,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CAPTAIN TILLY PARK,9.16,0.03708502,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,2,0,0,1,0,3
HARVEY PARK,9.154,0.037060729,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MSGR. MCGOLRICK PARK,9.134,0.036979757,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
BUSHWICK INLET PARK,9.01,0.036477733,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,3,0,3
HENRY HUDSON PARK,8.972,0.036323887,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
FRANK PRINCIPE PARK,8.899,0.03602834,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CASTLE HILL PARK,8.834,0.035765182,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ROCHDALE PARK,8.833,0.035761134,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ABE STARK SKATING RINK,8.807,0.03565587,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,1,2
CITY HALL PARK,8.8,0.03562753,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
EAST RIVER WATERFRONT ESPLANADE,8.761,0.035469636,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
CROTONA PARKWAY MALLS,8.75,0.035425101,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
CONEY ISLAND CREEK PARK,8.663,0.035072874,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,1,0,0,0,0,1,0,2
MILL ROCK PARK,8.639,0.034975709,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,8.595,0.034797571,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
JOHN J CARTY PARK,8.565,0.034676113,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
COFFEY PARK,8.271,0.03348583,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,3,0,3
BARRETT PARK,8.108,0.032825911,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
RAINEY PARK QUEENS,8.09,0.032753036,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
LAGUARDIA LANDING LIGHTS,8.03,0.032510121,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CITY ISLAND WETLANDS,8.005,0.032408907,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
SARA D. ROOSEVELT PARK,7.85,0.031781377,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,2,7,0,3,0,12
EWEN PARK,7.84,0.031740891,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HERBERT VON KING PARK,7.819,0.03165587,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,1,0,1
MOUNT PROSPECT PARK,7.79,0.031538462,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
RAINEY PARK BRONX,7.738,0.031327935,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,2,0,1,0,3
DETECTIVE KEITH L WILLIAMS PARK,7.683,0.031105263,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
FLUSHING FIELDS,7.671,0.03105668,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
PALMER INLET,7.49,0.030323887,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MIDLAND FIELD,7.463,0.030214575,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SCHMUL PARK,7.395,0.029939271,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BRIDGE PARK BRONX,7.156,0.02897166,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BEACH 30TH STREET PLAYGROUND,7.122,0.028834008,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BROWER PARK,7.047,0.028530364,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,2,3,0,0,0,5
JOYCE KILMER PARK,6.882,0.027862348,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,2,1,0,1,0,4
MARIA HERNANDEZ PARK,6.873,0.027825911,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,4,6,0,2,0,12
THE HIGH LINE,6.73,0.027246964,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
FRIENDS FIELD,6.7,0.027125506,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,3,0,0,0,3
LINDOWER PARK,6.7,0.027125506,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
J. HOOD WRIGHT PARK,6.699,0.027121457,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,0,0,0,0,1
WNYC TRANSMITTER PARK,6.611,0.026765182,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SPUYTEN DUYVIL SHOREFRONT PARK,6.6,0.026720648,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PARK AVENUE MALLS,6.593,0.026692308,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
WESTWOOD PARK,6.563,0.02657085,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
UNION SQUARE PARK,6.51,0.026356275,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,1,8,9,2,6,0,26
CONCRETE PLANT PARK,6.438,0.026064777,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,5,0,0,0,0,5
COL. YOUNG PLAYGROUND,6.423,0.026004049,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BRADYS POND PARK,6.402,0.025919028,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
COOPER PARK,6.401,0.02591498,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,1,0,0,0,0,0,1
GRAVESEND PARK,6.379,0.025825911,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,2,0,2
DR. CHARLES R. DREW PARK,6.336,0.025651822,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
TRINITY PARK,6.3,0.025506073,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MADISON SQUARE PARK,6.234,0.025238866,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,1,0,4,0,5
ELMHURST PARK,6.219,0.025178138,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
FORT HAMILTON ATHLETIC FIELD,6.194,0.025076923,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
AMBROSINI FIELD,6.1,0.024696356,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
CLEARVIEW PARK,6.05,0.024493927,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
RALPH DEMARCO PARK,6.03,0.024412955,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WINGATE PARK,5.888,0.023838057,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
UNNAMED PARK ON DRUMGOOLE ROAD & HUGUENOT AVENUE,5.848,0.023676113,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
DE WITT CLINTON PARK,5.829,0.02359919,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
UNNAMED PARK ON BOUNDARY AVENUE,5.765,0.023340081,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
VAN VOORHEES PARK,5.739,0.023234818,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HALLETS COVE PLAYGROUND,5.7,0.023076923,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MCKINLEY PARK,5.655,0.022894737,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SOUTHERN FIELDS,5.593,0.022643725,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
DEVOE PARK,5.44,0.022024291,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,2,4,0,0,0,6
ST. MICHAEL'S PLAYGROUND,5.43,0.021983806,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
MAFERA PARK,5.4,0.021862348,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
KENNEDY PLAYGROUND,5.4,0.021862348,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
SEAGIRT AVE WETLANDS,5.323,0.021550607,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
JOHN PAUL JONES PARK,5.317,0.021526316,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
WALKER PARK,5.278,0.021368421,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
OLD PLACE CREEK PARK,5.233,0.021186235,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
HOOVER - MANTON PLAYGROUNDS,5.2,0.021052632,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,1,0,2
GEN. DOUGLAS MACARTHUR PARK,5.165,0.020910931,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
GROVER CLEVELAND PLAYGROUND,5.1,0.020647773,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,1,0,2
POLICE OFFICER EDWARD BYRNE PARK,4.966,0.020105263,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,1,0,2
CYPRESS HILLS PLAYGROUND,4.947,0.02002834,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SETH LOW PLAYGROUND/ BEALIN SQUARE,4.945,0.020020243,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,2,0,0,2,0,4
KELLY PARK,4.896,0.019821862,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SOCRATES SCULPTURE PARK,4.893,0.019809717,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BEACH 9 PLAYGROUND,4.863,0.019688259,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
SOUTH BEACH WETLANDS,4.794,0.019408907,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
NAPLES PLAYGROUND,4.784,0.019368421,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
RAOUL WALLENBERG FOREST,4.73,0.019149798,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
WEST HARLEM PIERS,4.712,0.019076923,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,2,1,0,0,0,3
SPORTS PARK,4.647,0.018813765,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
WASHINGTON'S WALK,4.637,0.018773279,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MARCONI PARK,4.635,0.018765182,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,4,0,0,0,5
CAMBRIA PLAYGROUND,4.635,0.018765182,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
VALENTINO PIER,4.525,0.018319838,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GRANITEVILLE QUARRY PARK,4.465,0.018076923,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MONTBELLIER PARK,4.427,0.017923077,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
QUARRY BALLFIELDS,4.417,0.017882591,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
RICHMAN (ECHO) PARK,4.385,0.017753036,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,2,0,0,0,3
JEROME PARK,4.359,0.017647773,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
CORLEARS HOOK PARK,4.355,0.017631579,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,0,0,1,0,2
"PHIL ""SCOOTER"" RIZZUTO PARK",4.353,0.017623482,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,1,0,0,0,0,0,1
ASPHALT GREEN,4.35,0.017611336,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
FABER POOL AND PARK,4.339,0.017566802,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MACHATE CIRCLE,4.32,0.017489879,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HAMILTON FISH PARK,4.3,0.017408907,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
TIFFANY STREET PIER,4.231,0.017129555,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
KINGDOM POND PARK,4.22,0.01708502,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
COLUMBUS PARK BROOKLYN,4.14,0.016761134,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,2,0,2
STAPLETON PLAYGROUND,4.096,0.016582996,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
STERNBERG PARK,4.044,0.01637247,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,3,0,0,0,4
COLUCCI PLAYGROUND,4,0.016194332,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
NORTHERLEIGH PARK,3.955,0.016012146,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,1,0,0,0,1
STUYVESANT SQUARE,3.928,0.015902834,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
LAST CHANCE POND PARK,3.903,0.015801619,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FORDHAM LANDING PLAYGROUND,3.9,0.015789474,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,1,0,1
CHELSEA PARK,3.9,0.015789474,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,1,0,3,0,4
NORTH 5TH STREET PIER AND PARK,3.882,0.015716599,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HAGGERTY PARK,3.867,0.01565587,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
JACOB H. SCHIFF PLAYGROUND,3.852,0.015595142,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,2,1,0,1,0,4
GRANT PARK,3.85,0.015587045,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,2,0,0,0,2
EAST ELMHURST PLAYGROUND,3.827,0.015493927,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
JOSEPH AUSTIN PLAYGROUND,3.814,0.015441296,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,3.809,0.015421053,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LINCOLN CENTER PLAZA,3.8,0.015384615,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
INGRAM WOODS,3.77,0.015263158,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FARM PLAYGROUND,3.757,0.015210526,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HINTON PARK,3.735,0.015121457,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LOUIS PASTEUR PARK,3.673,0.014870445,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WHITEY FORD FIELD,3.622,0.014663968,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
POMONOK PLAYGROUND,3.596,0.014558704,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CLAWSON PLAYGROUND,3.593,0.014546559,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BENNETT REST,3.567,0.014441296,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
GOVERNOR SMITH PLAYGROUND,3.564,0.01442915,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
PAERDEGAT PARK,3.56,0.014412955,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
AMERSFORT PARK,3.557,0.01440081,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CITY LINE PARK,3.552,0.014380567,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
BAILEY PLAYGROUND,3.533,0.014303644,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
NAUTILUS PLAYGROUND QUEENS,3.52,0.014251012,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
VINMONT VETERAN PARK,3.5,0.01417004,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
MCDONALD PLAYGROUND BROOKLYN,3.485,0.014109312,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
THE OLDE TOWNE OF FLUSHING BURIAL GROUND,3.474,0.014064777,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WEGENER PARK,3.464,0.014024291,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET,3.43,0.01388664,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
JULIO CARBALLO FIELDS,3.428,0.013878543,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
GRADY PLAYGROUND,3.403,0.013777328,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ST. MICHAEL'S PARK,3.4,0.013765182,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CO-OP CITY FIELD,3.4,0.013765182,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,0,0,1
BREININGER PARK,3.4,0.013765182,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GREENWOOD PLAYGROUND,3.39,0.013724696,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
ST. ANDREW'S PLAYGROUND,3.38,0.013684211,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SEWARD PARK,3.361,0.013607287,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,1,0,1,0,2
BEHAGEN PLAYGROUND,3.348,0.013554656,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,0,0,0,0,1
DUGAN PLAYGROUND,3.333,0.013493927,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,1,0,0,0,0,1
EVERGREEN PARK,3.32,0.013441296,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
JOHN JAY PARK,3.312,0.013408907,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,1,0,0,0,1
UNIVERSITY WOODS,3.306,0.013384615,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
WATSON GLEASON PLAYGROUND,3.301,0.013364372,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
TOTTENVILLE POOL,3.259,0.013194332,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
VITO LOCASCIO FIELD,3.258,0.013190283,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CALLAHAN-KELLY PLAYGROUND,3.253,0.01317004,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
JUDGE MOSES WEINSTEIN PLAYGROUND,3.25,0.013157895,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
COLUMBUS PARK AT MANHATTAN,3.233,0.013089069,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,2,0,0,0,2
GREENCROFT PLAYGROUND,3.23,0.013076923,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SCARANGELLA PARK,3.214,0.013012146,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BILL BROWN PLAYGROUND,3.214,0.013012146,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,1,0,0,0,2
SARATOGA PARK,3.214,0.013012146,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,1,0,2
JAMAICA PLAYGROUND,3.21,0.012995951,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
NOBLE PLAYGROUND,3.21,0.012995951,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,0,0,1
MARCY PLAYGROUND,3.201,0.012959514,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
LYONS POOL,3.195,0.012935223,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
WAYANDA PARK,3.17,0.012834008,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,1,0,0,0,2
AMERICAN VETERANS MEMORIAL PIER,3.169,0.01282996,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HOLCOMBE RUCKER PARK,3.125,0.012651822,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
JESSE OWENS PLAYGROUND,3.1,0.012550607,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,0,0,1
EAST RIVER WALK,3.089,0.012506073,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
PARK OF THE AMERICAS,3.076,0.012453441,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,1,0,0,0,2
BROOKLYN HEIGHTS PROMENADE,3.035,0.012287449,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
J.J. BYRNE PLAYGROUND,3.03,0.012267206,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,0,0,1
HERO PARK,3.024,0.012242915,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
NOSTRAND PLAYGROUND,3.023,0.012238866,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FORT INDEPENDENCE PLAYGROUND,3.02,0.012226721,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BROWNSVILLE PLAYGROUND,3.017,0.012214575,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GRANDVIEW PLAYGROUND,3.014,0.012202429,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,1,0,0,0,1
LAWRENCE VIRGILIO PLAYGROUND,3.009,0.012182186,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
JACOB JOFFE FIELDS,2.984,0.012080972,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,2.982,0.012072874,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
UTOPIA PLAYGROUND,2.98,0.012064777,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BATH BEACH PARK,2.964,0.012,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
GLEN OAKS OVAL,2.948,0.011935223,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
